REF_DATE,GEO,Population centre and rural areas,Class of worker,North American Industry Classification System (NAICS),VALUE
Sep-25,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Business, building and other support services [55-56]",8.2
May-21,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers",Educational services [61],16.8
Jun-21,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers",Educational services [61],16.2
Jul-21,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers",Educational services [61],13.9
Aug-21,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers",Educational services [61],12.6
Sep-21,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers",Educational services [61],17.5
Oct-21,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers",Educational services [61],18
Nov-21,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers",Educational services [61],18.1
Dec-21,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers",Educational services [61],18.2
Jan-22,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers",Educational services [61],16.8
Feb-22,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers",Educational services [61],18.6
Mar-22,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers",Educational services [61],18.2
Apr-22,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers",Educational services [61],17
May-22,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers",Educational services [61],17.3
Jun-22,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers",Educational services [61],17.6
Jul-22,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers",Educational services [61],13.9
Aug-22,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers",Educational services [61],13.9
Sep-22,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers",Educational services [61],17.3
Oct-22,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers",Educational services [61],18.1
Nov-22,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers",Educational services [61],17.8
Dec-22,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers",Educational services [61],19
Jan-23,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers",Educational services [61],18.4
Feb-23,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers",Educational services [61],18.6
Mar-23,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers",Educational services [61],18.2
Apr-23,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers",Educational services [61],18.3
May-23,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers",Educational services [61],17.7
Jun-23,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers",Educational services [61],17.3
Jul-23,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers",Educational services [61],14.5
Aug-23,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers",Educational services [61],14
Sep-23,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers",Educational services [61],17.1
Oct-23,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers",Educational services [61],19.1
Nov-23,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers",Educational services [61],19.7
Dec-23,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers",Educational services [61],20.1
Jan-24,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers",Educational services [61],20.9
Feb-24,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers",Educational services [61],21.1
Mar-24,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers",Educational services [61],21
Apr-24,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers",Educational services [61],21.3
May-24,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers",Educational services [61],21.2
Jun-24,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers",Educational services [61],21.2
Jul-24,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers",Educational services [61],17.3
